std_yawdd	std_a	rmse(0)	rmse(1)	rmse(2)	rmse(3)	NIS_radar	NIS_lidar
0.1	0.2	0.187729	0.159713	0.194193	0.181316	0.9	0.87
0.1	0.3	0.178304	0.159643	0.198104	0.182112	0.93	0.89
0.1	0.4	0.176182	0.159798	0.218127	0.184788	0.95	0.91
0.1	0.5	0.176159	0.159981	0.24174	0.188069	0.95	0.92
0.1	0.6	0.176771	0.160154	0.264942	0.191494	0.93	0.9
0.1	0.7	0.177563	0.160307	0.286253	0.194823	0.93	0.89
0.1	0.8	0.178371	0.16044	0.305196	0.197947	0.94	0.91
0.1	0.9	0.179132	0.160556	0.321738	0.200822	0.94	0.9
0.1	1	0.179821	0.160653	0.336043	0.203407	0.94	0.89
0.1	1.1	0.180431	0.160741	0.348354	0.20572	0.94	0.9
0.1	1.2	0.180969	0.160814	0.358935	0.207774	0.94	0.9
0.1	1.3	0.181439	0.160878	0.368037	0.20959	0.95	0.9
0.1	1.4	0.181851	0.160934	0.375882	0.211194	0.95	0.89
0.1	1.5	0.182211	0.160983	0.382664	0.212611	0.95	0.89
0.1	1.6	0.182526	0.161025	0.388546	0.213862	0.95	0.89
0.1	1.7	0.182802	0.161063	0.393667	0.214969	0.95	0.89
0.1	1.8	0.183046	0.161095	0.398144	0.21595	0.95	0.89
0.1	1.9	0.18326	0.161124	0.402073	0.216823	0.95	0.89
0.1	2	0.18345	0.16115	0.405535	0.217599	0.95	0.89
0.1	2.1	0.183619	0.161173	0.408597	0.218293	0.95	0.89
0.1	2.2	0.18377	0.161193	0.411316	0.218915	0.95	0.89
0.1	2.3	0.183905	0.161212	0.41374	0.219473	0.95	0.89
0.1	2.4	0.184025	0.161228	0.415907	0.219976	0.95	0.88
0.1	2.5	0.184134	0.161243	0.417851	0.22043	0.95	0.88
0.1	2.6	0.184232	0.161256	0.419601	0.220841	0.95	0.88
0.1	2.7	0.184321	0.161268	0.421182	0.221214	0.95	0.87
0.1	2.8	0.184401	0.161279	0.422613	0.221553	0.95	0.87
0.1	2.9	0.184474	0.161289	0.423913	0.221862	0.95	0.87
0.1	3	0.184541	0.161298	0.425094	0.222145	0.95	0.87
0.1	3.1	0.184602	0.161307	0.426175	0.222404	0.95	0.87
0.1	3.2	0.184658	0.161314	0.427163	0.222642	0.94	0.86
0.1	3.3	0.184709	0.161321	0.42807	0.222861	0.94	0.85
0.1	3.4	0.184756	0.161328	0.428904	0.223062	0.94	0.85
0.1	3.5	0.1848	0.161334	0.429673	0.223249	0.94	0.84
0.1	3.6	0.18484	0.161339	0.430382	0.223421	0.94	0.84
0.1	3.7	0.184878	0.161344	0.431038	0.223581	0.94	0.84
0.1	3.8	0.184912	0.161349	0.431645	0.223729	0.94	0.83
0.1	3.9	0.184944	0.161354	0.43221	0.223867	0.94	0.83
0.1	4	0.184974	0.161358	0.432734	0.223996	0.94	0.83
0.1	4.1	0.184836	0.163791	0.432918	0.229387	0.94	0.83
0.1	4.2	0.184864	0.163666	0.433376	0.229313	0.94	0.83
0.1	4.3	0.184891	0.163546	0.433803	0.229232	0.94	0.83
0.1	4.4	0.184917	0.163429	0.434201	0.229146	0.94	0.83
0.1	4.5	0.184941	0.163316	0.434574	0.229056	0.94	0.82
0.1	4.6	0.185085	0.168157	0.435815	0.231469	0.95	0.82
