------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	0
0.447976	-0.446598	0	0	0	0	0	0	0	0	0	1.12229
1.5549	-0.146714	1.64838	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.337185
1.63741	0.0361767	2.16068	-0.00218818	0.00119756	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.80301
3.88769	-0.129889	3.43248	-0.174083	0.00317552	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.168468
3.95527	0.199011	2.46005	0.16832	-0.0220812	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	6.10844
6.85808	0.417935	4.34125	-0.0232592	-0.165534	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.276173
6.75282	0.495458	2.77018	0.113909	-0.0534654	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.79371
9.07771	0.594003	2.60689	0.0329535	-0.0699626	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.00328353
9.02682	0.890824	2.59295	0.220203	0.0417786	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	4.40663
11.5749	1.6624	3.15786	0.371378	0.113441	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.0518923
11.5565	1.45427	2.61692	0.249579	0.051856	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.45338
13.5947	2.30685	2.18807	0.436665	0.141538	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.0660126
13.6642	2.02338	2.53303	0.24373	-0.00386387	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	4.39031
16.642	2.90022	4.02443	0.298162	0.0339245	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.152102
16.5265	2.88917	3.02387	0.327227	0.0865156	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	2.45733
19.0102	3.70885	2.75925	0.315913	0.0229187	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.0302956
19.0594	3.79802	2.63516	0.351205	0.051103	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.67305
21.3311	4.73184	2.72487	0.406178	0.0536208	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.000565509
21.3981	4.70659	2.89887	0.375131	0.0308635	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.821605
24.0759	5.57409	3.22446	0.2587	-0.0646748	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.0665497
24.1328	5.77285	3.21009	0.350225	-0.00360252	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.63627
26.6078	6.95722	2.8391	0.486544	0.0870522	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.0612134
26.6073	6.92678	3.0898	0.46494	0.0648273	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.175347
29.5811	8.09377	3.78876	0.299485	-0.0855955	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.181926
29.5132	8.20551	3.19261	0.360914	-0.0410117	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	1.52682
31.9464	9.86853	3.07092	0.720498	0.217236	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.423349
31.9612	9.64985	2.98018	0.606414	0.142681	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	3.56602
34.6059	10.7113	3.10687	0.274225	-0.166341	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0.663079
34.6669	10.8207	3.12354	0.302635	-0.150114	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	3.0243
37.1442	12.0776	2.92273	0.52279	0.0843147	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.349417
37.2048	12.1592	3.17173	0.550502	0.0989046	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.70846
40.3203	13.475	4.03855	0.288027	-0.135972	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.410641
40.1793	13.5922	3.15276	0.349678	-0.10335	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	3.86959
42.7689	14.8227	3.11393	0.473865	0.0427534	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.135768
42.7093	14.9261	3.22487	0.531203	0.0763103	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	1.32883
45.3558	16.5531	3.54237	0.565641	0.049307	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0115192
45.4177	16.5051	3.2656	0.531252	0.040167	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	1.13733
48.1488	17.2936	2.93013	0.167057	-0.217865	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.432369
48.0748	17.4215	2.85131	0.236191	-0.176095	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	2.11325
50.6266	19.0487	3.36414	0.774888	0.27907	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.35989
50.632	18.9406	3.19154	0.732011	0.264383	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	1.30576
53.7079	19.9179	3.14755	0.137651	-0.288406	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.21029
53.6648	19.9023	2.90892	0.130713	-0.305194	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.382136
56.0358	21.0691	2.58029	0.537004	0.147101	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	1.36953
56.0123	21.049	2.74709	0.505202	0.118897	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.391073
58.654	21.7963	3.10338	0.146581	-0.185759	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.620588
58.6218	21.8646	2.96413	0.179834	-0.171288	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.7263
60.8759	22.7751	2.39884	0.418708	0.0890755	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.465578
60.8718	22.7366	2.70087	0.3794	0.0596865	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.483977
63.3784	23.4141	2.95109	0.205718	-0.087663	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.142531
63.4295	23.4981	2.66147	0.223832	-0.0878653	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.6399
66.3375	23.9955	3.6859	0.125736	-0.0941873	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.0692261
66.2072	23.9844	2.55437	0.119648	-0.147888	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.16775
68.2637	24.3513	2.18551	0.185559	-0.0155926	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.121402
68.3527	24.4157	2.56775	0.216204	0.00909213	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.22723
70.8262	24.8849	2.97516	0.197915	-0.0076309	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0125812
70.7976	24.8188	2.40468	0.154799	-0.0474428	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.936925
72.8918	24.7213	2.18511	-0.110072	-0.181785	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.119096
72.9233	24.8056	2.33401	-0.0551709	-0.143172	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	1.41616
75.0007	25.2423	2.31055	0.297675	0.159733	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.618385
74.9872	25.2143	2.13926	0.281562	0.149991	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.199533
77.1145	24.957	2.17951	-0.309621	-0.297661	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.26026
77.1065	25.0388	2.02307	-0.275465	-0.298452	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	1.42333
79.1001	25.0113	2.27625	0.0368781	0.0779891	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.11321
79.0889	25.0004	2.01692	0.00225067	0.0358674	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.378995
80.8079	24.8717	1.87515	-0.0373754	-0.00890221	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0145193
80.86	24.8607	1.71308	-0.0622744	-0.0423903	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.18865
82.6203	24.6397	2.19926	-0.115823	-0.048927	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0153089
82.5663	24.6714	1.77979	-0.133524	-0.103357	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.883124
84.1717	24.5422	1.90042	-0.0331514	0.0152422	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.100186
84.1818	24.4882	1.7576	-0.0914523	-0.03466	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.759311
85.6397	23.8226	1.642	-0.49167	-0.24704	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.296631
85.7126	23.8061	1.83906	-0.487633	-0.232939	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.09268
86.9372	23.5095	1.10433	-0.266711	0.0311201	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.571531
87.0726	23.5036	1.33604	-0.225854	0.0544398	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	4.16206
88.8224	22.8008	2.61553	-0.444988	-0.10367	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.267074
