------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44627	0.251375	-3.03601	-0.000423495	-2.9951e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00755443
8.46764	0.239686	-2.60432	0.0149231	0.000994112	8.56759	0.241943	8.45	0.25	0	0	0.951796
8.41981	0.241719	-2.53302	-0.0116415	-0.00300249	8.45582	0.253997	8.45	0.25	0	0	0.133747
8.32789	0.250889	-2.59781	-0.0649796	-0.0121318	8.42544	0.254042	8.35	0.25	-1.81979	0	0.140086
8.20824	0.259134	-2.53498	-0.062491	-0.00863399	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0755458
7.972	0.195245	-3.63819	0.176356	0.315828	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	3.63508
7.80715	0.162361	-3.61969	0.193184	0.324763	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0691363
7.64802	0.152324	-3.42312	0.154055	0.140186	7.61269	0.155818	7.7	0.15	-2.99982	0	0.559706
7.49381	0.127459	-3.40135	0.157289	0.124018	7.54016	0.159641	7.55	0.15	-2.99982	0	0.172764
7.40209	0.0935168	-2.54687	0.213358	0.328549	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	8.4857
7.28177	0.0617208	-2.52371	0.23674	0.347181	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.241358
7.12917	0.00932106	-2.78013	0.290168	0.455687	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.879873
6.99753	-0.0367022	-2.75848	0.319561	0.467388	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.189435
6.90047	-0.134116	-2.34248	0.486647	0.841758	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	5.47987
